id,timestamp,vessel_id,latitude,longitude,velocity,heading,cog,vessel_name,destination,type
5557249,2025-03-26 15:11:53.343534,230711000,61.133145,21.441363,0.0,314.0,175.8,JUPITER,HARBOUR ASSISTANCE,52
5557248,2025-03-26 15:11:53.295277,230938570,60.891145,21.137158,5.6,17.0,15.9,BISON,FIRAU,52
5557247,2025-03-26 15:11:53.251022,230108610,60.150595,24.984433,5.4,182.0,169.5,SUOKKI,SUOMENLINNA FERRY,60
5557246,2025-03-26 15:11:53.036946,276342000,59.458575,24.721998,0.0,511.0,11.2,VIIKING,MIINISADAM-LAHESVV,90
5557245,2025-03-26 15:11:53.010292,277569000,59.74616,20.267802,16.8,90.0,89.0,SIRENA SEAWAYS,EE PLN <=> SE KPS,60
5557244,2025-03-26 15:11:52.971365,373834000,59.741643,24.524443,14.6,76.0,76.3,SEA SHELL,UST-LUGA,80
5557243,2025-03-26 15:11:52.929804,230086510,60.074693,20.52674,0.0,511.0,360.0,EMBARSUND F116,FINNHOLMA<>JYDDO,60
5557242,2025-03-26 15:11:52.897694,276672000,59.491833,22.995,16.4,281.0,283.0,STAR I,EE PLS >< SE KPS,60
5557241,2025-03-26 15:11:52.869313,230061400,60.37508,20.088528,0.0,511.0,273.1,RESCUE BJOERKSKAER,HAMNSUNDET AREA,51
5557240,2025-03-26 15:11:52.679456,244003000,59.531567,23.343823,12.9,72.0,71.7,LADY CHRISTINA,FIKTK,70
5557239,2025-03-26 15:11:52.647427,230184000,60.037935,19.889702,16.7,178.0,178.5,SILJA SERENADE,FIHEL<>FIMHQ<>SESTO,60
5557238,2025-03-26 15:11:52.601737,230938660,60.270258,22.308393,0.0,356.0,274.1,LEONIE,PARGAS,70
5557237,2025-03-26 15:11:52.558516,304095000,59.35506,22.427732,12.8,53.0,50.8,MONTSERRAT,RULED,70
5557236,2025-03-26 15:11:52.494385,230695000,60.1662,22.13622,10.1,191.0,202.1,PRIMA KING,EEBEK,70
5557235,2025-03-26 15:11:52.418419,230035990,60.290263,20.788355,0.0,73.0,286.6,OSTERN,KUM-ENK,60
5557234,2025-03-26 15:11:52.403560,230183280,60.436965,22.21797,0.0,511.0,354.7,NORDIC TITAN,WORK AREA,90
5557233,2025-03-26 15:11:52.311304,230940100,60.215307,20.710478,0.0,61.0,276.0,FARJA 119,TOFTO,60
5557232,2025-03-26 15:11:52.259604,304444000,59.757965,24.849307,11.0,77.0,78.7,CLARA,RULED,70
5557231,2025-03-26 15:11:52.026280,276005340,59.457968,24.717555,0.1,35.0,121.2,AHTO-15,HUNDIPEA,50
5557230,2025-03-26 15:11:51.978429,230180470,59.80883,22.910555,0.1,148.0,62.1,L249,,50
5557229,2025-03-26 15:11:51.940385,210853000,59.730772,23.548658,10.3,248.0,250.3,KURLAND,NORKOPPING,70
5557228,2025-03-26 15:11:51.902874,276015540,59.45512,24.738047,0.0,284.0,0.0,ISBJORN,,90
5557227,2025-03-26 15:11:51.889070,230091290,60.15418,20.294,0.0,511.0,83.5,ANGOSUND,NORRBODA <> ANGO,60
5557226,2025-03-26 15:11:51.752669,230110440,59.873083,22.448795,0.0,177.0,0.0,AURORA,KASNAS-HITIS,60
5557225,2025-03-26 15:11:51.703235,305201000,59.759997,24.758573,10.1,78.0,78.1,KAROLIINA,RU LED,70
5557224,2025-03-26 15:11:51.684916,230151230,60.31092,20.942358,0.0,511.0,106.6,BJORKO,LAPPO,60
5557223,2025-03-26 15:11:51.644351,230941940,60.171817,24.962407,0.0,195.0,154.6,VARTIOLAIVA 55   ,HELSINKI  ,20
5557222,2025-03-26 15:11:51.592134,314218000,59.343475,20.027803,9.2,41.0,38.4,WILSON  RUHR,FIEJO,70
5557221,2025-03-26 15:11:51.533961,230128800,59.92806,22.18322,0.0,511.0,360.0,OERNEN,KASNAS AREA,70
5557220,2025-03-26 15:11:51.463080,276538000,59.457878,24.707052,0.0,511.0,0.0,LOTOS,PALJASSAARE,53
5557219,2025-03-26 15:11:51.441370,230714000,60.106022,19.923945,0.0,11.0,28.7,ANNIKA,FIMHQ,70
5557218,2025-03-26 15:11:51.392944,314702000,59.497483,24.951953,0.9,320.0,150.4,WILSON BRUGGE,NOTAU,70
5557217,2025-03-26 15:11:51.365560,230145760,61.595093,21.483833,0.0,100.0,136.9,DUNKER,PORT T0WAGE,52
5557216,2025-03-26 15:11:51.349333,276835000,59.457548,24.703148,0.0,511.0,300.3,TORVIK,EEPAS,52
5557215,2025-03-26 15:11:51.299960,230301000,60.283588,22.292572,0.0,314.0,300.0,VARMA,FIPAR,52
5557214,2025-03-26 15:11:51.267915,230117660,60.394675,21.809042,0.0,318.0,150.7,ISLA,RYMATTYLAN LIIK.ALUE,60
5557213,2025-03-26 15:11:51.256950,245909000,61.947868,20.603758,9.8,177.0,176.0,ROBIJN,FIUKI,70
5557212,2025-03-26 15:11:51.214776,230169030,60.14594,24.983452,0.0,136.0,360.0,RODNY,HELSINKI,52
5557211,2025-03-26 15:11:51.156639,210524000,60.564128,19.597893,8.9,75.0,75.6,RIKKE B,FINLI,70
5557210,2025-03-26 15:11:51.037254,230108590,60.167405,24.980408,0.0,236.0,0.1,EHRENSVAERD,SUOMENLINNA FERRY,60
5557209,2025-03-26 15:11:51.007390,244675000,61.521968,20.086865,11.7,208.0,205.3,LADY HELENE,NLAMS,70
5557208,2025-03-26 15:11:50.995654,230992670,60.224072,20.414303,0.0,116.0,288.2,ALFAGELN,HUMMELVIK/TORSHOLMA,60
5557207,2025-03-26 15:11:50.948022,245097000,60.475792,21.444795,18.2,267.0,267.0,PULPCA,RAUMA,70
5557206,2025-03-26 15:11:50.902200,636019903,59.644702,23.419935,11.6,254.0,254.4,AFRAPEARL II,EGPSD,80
5557205,2025-03-26 15:11:50.809143,230944110,61.132858,21.442017,0.0,312.0,54.3,LEO,HARBOUR ASSISTANCE ,52
5557204,2025-03-26 15:11:50.757655,230695000,60.166288,22.13628,10.1,192.0,203.3,PRIMA KING,EEBEK,70
5557203,2025-03-26 15:11:50.699830,230129940,60.206007,20.277695,0.0,129.0,223.3,SEGLINGE,SEGLINGE,70
5557202,2025-03-26 15:11:50.673097,230713000,59.549543,21.592712,16.8,284.0,285.5,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,60
5557201,2025-03-26 15:11:50.658244,230099950,60.105218,24.974492,0.0,26.0,117.3,PILOT L244,HELSINKI PILOT 71,50
5557200,2025-03-26 15:11:50.530001,244554000,60.795187,21.34161,0.0,235.0,96.2,ANKIE,UUSIKAUPUNKI,70
5557199,2025-03-26 15:11:50.511518,244238000,59.409367,22.243533,11.3,235.0,234.8,ESSENCE,NLRTM,70
5557198,2025-03-26 15:11:50.497760,230031000,60.166203,24.705747,0.1,81.0,254.6,FURUNOP,HANKO,90
5557197,2025-03-26 15:11:50.488134,245399000,59.852488,19.537015,10.7,141.0,140.0,LADY HANNAH,IEWAT,70
5557196,2025-03-26 15:11:50.461592,276829000,59.482187,24.756833,22.6,161.0,159.1,MEGASTAR,EEVAN<->FIHEL,60
5557195,2025-03-26 15:11:50.285756,230981770,59.782513,21.371367,0.0,304.0,176.8,PILOT L 226,,50
5557194,2025-03-26 15:11:50.269417,276702000,59.4518,24.66963,0.1,511.0,49.9,AHTO-26,MEERUSE ,90
